Symbol,Name,Sector,Country,sss_value,annualized_revenue,annualized_earnings,quarterized_revenue,quarterized_earnings,effective_earnings,effective_revenue,enterprise_value_to_revenue,evr_effective,trailing_price_to_earnings,forward_price_to_earnings,effective_price_to_earnings,trailing_12months_price_to_sales,pe_effective,enterprise_value_to_ebitda,profit_margin,annualized_profit_margin,annualized_profit_margin_boost,quarterized_profit_margin,quarterized_profit_margin_boost,effective_profit_margin,held_percent_institutions,forward_eps,trailing_eps,previous_close,trailing_eps_percentage,price_to_book,shares_outstanding,net_income_to_common_shareholders,nitcsh_to_shares_outstanding,employees,enterprise_value,market_cap,nitcsh_to_num_employees,eqg,eqg_yoy,eqg_effective,eqg_factor_effective,revenue_quarterly_growth,price_to_earnings_to_growth_ratio,effective_peg_ratio,annualized_cash_flow_from_operating_activities,quarterized_cash_flow_from_operating_activities,annualized_ev_to_cfo_ratio,quarterized_ev_to_cfo_ratio,ev_to_cfo_ratio_effective,annualized_debt_to_equity,quarterized_debt_to_equity,debt_to_equity_effective,financial_currency,conversion_rate_mult_to_usd,last_dividend_0,last_dividend_1,last_dividend_2,last_dividend_3,fifty_two_week_change,fifty_two_week_low,fifty_two_week_high,two_hundred_day_average,previous_close_percentage_from_200d_ma,previous_close_percentage_from_52w_low,previous_close_percentage_from_52w_high,dist_from_low_factor,eff_dist_from_low_factor,annualized_total_ratio,quarterized_total_ratio,annualized_other_current_ratio,quarterized_other_current_ratio,annualized_other_ratio,quarterized_other_ratio,annualized_total_current_ratio,quarterized_total_current_ratio,total_ratio_effective,other_current_ratio_effective,other_ratio_effective,total_current_ratio_effective,skip_reason
TLV:ABIL,ABILITY INC,Technology,Israel,1.00E+50,0,0,0,0,0,0,7.732,7.732,0,0,0,3.92469,0,-2.328,0,0,0,0,0,0.01,0.03946,0,-0.938,176,-0.00533,10000,7972390,-6709000,-0.84153,10,13345180,6774023,-670900,-0.9,-0.9,-0.9,0.15,-0.75,1,1,-3962733.333,10400,41697.83032,1283.19038,21490.51035,-0.16933,-2.58778,14.78555,USD,1,0,0,0,0,0.63077,69.1,380,150.54686,16.90712,154.70333,-53.68421,0.68768,0.68868,0.77139,0.61171,0.84432,0.83243,7.52261,4.71154,0.71359,0.57295,0.70155,0.84838,6.12708,0.65327,None
TLV:ABRA,ABRA TECH,Technology,Israel,1.00E+50,0,0,0,0,0,0,3.511,3.511,0,0,0,7.42026,0,-12.903,-0.66652,0,0,0,0,-0.08522,0.42577,0,-0.38,332.4,-0.00114,156.15701,62814000,-21322000,-0.33945,352,112311120,237374096,-60573.86364,-0.9,-0.9,-0.9,0.15,-0.75,1,1,5831066.667,42700,19.26082,2630.237,1324.74891,0.28574,0.35971,0.32273,USD,1,29.1911,245.464,161.365,107.2049,1.30146,160.1,456,334.82797,-0.72514,107.62024,-27.10526,1.16458,2.49472,19.10708,4.37205,0.30872,0.0095,0.11423,0.10728,10.60497,4.01616,11.74956,0.16911,0.12075,7.32056,None
TLV:ACCL,ACCEL SOLUTIONS GR,Technology,Israel,1.00E+50,0,0,0,0,0,0,2.926,2.926,0,0,0,3.88951,0,56.277,-0.09114,0,0,0,0,-0.00302,0.35647,0,-0.068,218.4,-0.00031,508.04596,116768000,-6047000,-0.05179,25,194156336,258057280,-241880,1.218,1.218,1.218,7.14,-0.75,1,1,-630000,-676266.6667,29299198945,23689423248,26494311097,1.35901,1.0403,1.19966,USD,1,64.3205,173.616,4.602,47.5795,1.01094,95.5,299,232.33357,-5.99723,128.6911,-26.95652,1.20786,3.10531,3.96836,2.19816,0.61772,0.38687,0.00373,0.0054,2.45469,2.12417,3.09326,0.51229,0.01456,2.29943,None
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,Israel,10442957.33,0,0,0,0,0,0,1.116,1.116,13.72612,0,13.72612,0.73832,13.72612,11.463,0.04903,0,0,0,0,0.03802,0.81862,0,1.57,2109,0.00074,418.0407,23015000,32938000,1.43115,990,749391680,495973248,33270.70707,30.011,30.011,30.011,151.105,-0.75,1,1,101393266.7,52063800,7.39094,14.39372,10.89233,6.48685,6.74093,6.61389,USD,1,86.8998,0,0,0,0.01002,1600,2155,1807.6154,16.67305,31.8125,-2.13457,1.83423,38.08279,1.16238,1.14889,0.14502,0.14856,0,0,0.75117,0.75259,1.16563,0.15679,0.01,0.76188,None
TLV:ADGR,ADGAR INVEST & DEV,Real Estate,Israel,10350637967209,73427814.84,13762510.14,18613288.75,-2971392.671,5395558.735,46020551.79,15.941,15.941,196.26398,0,196.26398,4.40017,196.26398,20.43,-0.14234,0.18819,1,-0.16222,0,0.05369,0.25364,0,-0.225,637.6,-0.00035,84.40881,163544992,-34255000,-0.20945,116,3836467968,1058953856,-295301.7241,-0.47897,-0.47897,-0.47897,0.57103,-0.75,1,1,24870467.16,8434199.025,154.25798,454.87046,304.56422,2.87386,2.86676,2.87031,ILS,0.30581,7.2151,6.9655,6.3741,6.9655,0.2643,345,676.9,575.5972,10.77191,84.81159,-5.80588,1.76318,30.0457,1.3551,1.35235,0.70549,0.4778,19.26964,18.15811,0.9694,0.92205,1.36373,0.60164,18.72388,0.95572,None
TLV:ADKA,ADIKA STYLE LTD,Consumer Cyclical,Israel,103701551.3,0,0,0,0,0,0,1.378,1.378,53.5,0,53.5,1.04332,53.5,12.699,0.02006,0,0,0,0,0.02146,0.10489,0,0.2,1255,0.00016,438.88434,21218500,4365000,0.20572,451,299864960,227037952,9678.49224,6.125,6.125,6.125,31.675,-0.75,1,1,16190466.67,7322133.333,18.52108,40.95322,29.73715,2.96953,2.54918,2.75936,USD,1,0,0,0,0,2.68456,290.1,1780,1368.2517,-8.27711,332.60945,-29.49438,1.29525,4.72206,1.46838,1.3941,1.05658,0.84696,1.83717,2.28912,1.36975,1.40117,1.44124,0.96177,2.07314,1.39546,None
TLV:AFHL,AFCON HOLDINGS LTD,Technology,Israel,4816813507,514682042.4,3003523.109,137386386.1,1776348.353,2389935.731,326034214.3,0.729,0.729,78.47619,0,78.47619,0.60088,26.15873,31.797,0.00779,0.01379,2.25,0.01223,1,0.02248,0.22939,0,2.625,20930,0.00013,211.675,5057400,13510000,2.67133,1209,1263972480,1041824384,11174.5244,0.28124,0.28124,0.28124,2.45621,-0.75,1,1,19304888.26,16554106.92,65.47422,76.35401,70.91412,2.69749,2.73602,2.71676,ILS,0.30581,949.1046,215.99013,323.9852,323.9852,0.63236,8320,21720,14801.958,41.40021,151.5625,-3.6372,1.88209,44.44692,1.37493,1.37034,0.28935,0.2829,3.3487,3.79293,1.57707,1.66232,1.38264,0.29612,3.58082,1.6297,None
TLV:AFID,None,None,Unknown,1.00E+50,0,0,0,0,0,0,0,0,0,0,0,10000000000000,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,10000,100000000,0,0,10000000,0,0,0,-0.9,-0.9,-0.9,0.15,-0.75,1,1,0,0,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,0,USD,1,1992.123,2458.831,1844.0001,1299.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,None
TLV:AFPR,AFI PROPERTIES,Real Estate,Israel,2011044925632,280432132.9,53728431.68,70408634.26,20297527.13,37012979.41,175420383.6,12.196,12.196,242.90844,0,242.90844,5.14499,242.90844,29.899,0.02015,0.49643,2.5,0.28034,1,0.37665,0.09313,0,0.557,13080,4.00E-05,114.26689,36032600,19091000,0.52983,296,11556657152,4875210752,64496.62162,-0.297,-0.47835,-0.34234,0.70766,-0.75,1,1,95980323.75,25407795.72,120.40652,454.8469,287.62671,1.91951,1.95257,1.93604,ILS,0.30581,699.04755,262.25336,355.3014,322.38956,0.39191,7496.1353,13910,11691.329,11.87779,74.48991,-5.96693,1.74119,27.86574,1.53169,1.51509,0.38949,0.33243,14.97051,15.45338,0.64434,0.60251,1.53339,0.37096,15.22194,0.63342,None
TLV:AFRE,AFRICA ISRAEL RESI,Real Estate,Israel,2.99544E+15,0,0,0,0,0,0,3.273,3.273,20.04517,0,20.04517,1.73654,20.04517,31.479,0.08663,0,0,0,0,0.0595,0.32599,0,8.855,17700,0.0005,210.34793,12643500,111959000,8.85506,54,4230505728,2244221184,2073314.815,12.25,12.25,12.25,62.3,-0.75,1,1,-58948600,-60698133.33,371168039.6,340031270.3,355599655,2.47984,2.46319,2.47152,USD,1,474.5507,395.4589,395.4589,395.4589,1.17525,7909,18810,14182.832,24.79877,123.79568,-5.90112,1.79635,33.60038,1.40381,1.40608,0.34251,0.34813,26.8335,24.98678,1.1847,1.07,1.41494,0.35532,25.92014,1.13735,None
